Name,Team,PA,IP,Bat WAR,Pit WAR,Total WAR,PlayerId
"Xander Bogaerts","BOS",603,,4.136688232421875,,4.136688232421875,12161
"Javier Báez","- - -",547,,4.1278698444366455,,4.1278698444366455,12979
"Germán Márquez","COL",60,180,0.6356086134910583,3.44494891166687,4.0805575251579285,15038
"Mike Zunino","TBR",375,,4.0703911781311035,,4.0703911781311035,13265
"Byron Buxton","MIN",254,,4.065121650695801,,4.065121650695801,14161
"Justin Turner","LAD",612,1,4.046138286590576,0.006529568694531918,4.052667855285108,5235
"Teoscar Hernández","TOR",595,,4.037035942077637,,4.037035942077637,13066
"Trevor Rogers","MIA",46,133,-0.23398838937282562,4.2552971839904785,4.021308794617653,22286
"Adam Wainwright","STL",74,206.3333,0.10551193356513977,3.9056334495544434,4.011145383119583,2233
"Jorge Polanco","MIN",644,,3.9805922508239746,,3.9805922508239746,13152
"Sandy Alcantara","MIA",64,205.6666,-0.31324446201324463,4.289099216461182,3.975854754447937,18684
"Luis Castillo","CIN",59,187.6666,0.12015918642282486,3.8502862453460693,3.970445431768894,15689
"Frankie Montas","OAK",4,187,-0.040420472621917725,4.010596752166748,3.9701762795448303,14309
"José Berríos","- - -",4,191.9999,-0.04328517057001591,4.007076144218445,3.963790973648429,14168
"Francisco Lindor","NYM",524,,3.9435949325561523,,3.9435949325561523,12916
"Mookie Betts","LAD",550,,3.9208567142486572,,3.9208567142486572,13611
"Randy Arozarena","TBR",604,,3.8741776943206787,,3.8741776943206787,19290
"Jeimer Candelario","DET",626,,3.867076873779297,,3.867076873779297,13621
"Robbie Ray","TOR",5,193.3333,-0.055690277367830276,3.9117445945739746,3.8560543172061443,11486
"Eduardo Rodriguez","BOS",6,157.6666,-0.06838272511959076,3.9231443405151367,3.854761615395546,13164
"Freddy Peralta","MIL",45,144.3333,-0.1519761085510254,3.981984853744507,3.8300087451934814,18679
"Corey Seager","LAD",409,,3.8175907135009766,,3.8175907135009766,13624
"Jake Cronenworth","SDP",643,0.6666,3.7238564491271973,0.020935308188199997,3.7447917573153973,18036
"Yoán Moncada","CHW",616,,3.743716239929199,,3.743716239929199,17232
"Nick Castellanos","CIN",585,,3.6967461109161377,,3.6967461109161377,11737
"Matt Chapman","OAK",622,,3.6964077949523926,,3.6964077949523926,16505
"Ozzie Albies","ATL",686,,3.6660232543945312,,3.6660232543945312,16556
"Clayton Kershaw","LAD",39,121.6666,0.22743773460388184,3.4299683570861816,3.6574060916900635,2036
"Enrique Hernández","BOS",585,,3.6500356197357178,,3.6500356197357178,10472
"Yasmani Grandal","CHW",375,,3.5806617736816406,,3.5806617736816406,11368
"Brandon Belt","SFG",381,,3.571885108947754,,3.571885108947754,10264
"Marcus Stroman","NYM",58,179,0.0908244326710701,3.4673938751220703,3.5582183077931404,13431
"Pete Alonso","NYM",637,,3.528900623321533,,3.528900623321533,19251
"Joey Votto","CIN",533,,3.519507646560669,,3.519507646560669,4314
"Tyler Mahle","CIN",66,180,-0.3669106662273407,3.8689427375793457,3.502032071352005,16358
"Jean Segura","PHI",567,,3.4852519035339355,,3.4852519035339355,5933
"Yordan Alvarez","HOU",598,,3.479175329208374,,3.479175329208374,19556
"Josh Donaldson","MIN",543,,3.4317712783813477,,3.4317712783813477,5038
"Sean Manaea","OAK",5,179.3333,0.16695636510849,3.256680488586426,3.4236368536949158,15873
"Luis Robert Jr.","CHW",296,,3.418290615081787,,3.418290615081787,20043
"Jonathan India","CIN",631,,3.4090309143066406,,3.4090309143066406,21523
"Wade Miley","CIN",59,163,0.33928948640823364,3.0390853881835938,3.3783748745918274,8779
"Dansby Swanson","ATL",653,,3.296586513519287,,3.296586513519287,18314
"Chris Bassitt","OAK",2,157.3333,-0.020210236310958862,3.3043105602264404,3.2841003239154816,12304
"Yuli Gurriel","HOU",605,,3.2732062339782715,,3.2732062339782715,19198
"Sean Murphy","OAK",448,,3.272876024246216,,3.272876024246216,19352
"Ranger Suárez","PHI",23,106,0.25016769766807556,3.005791425704956,3.2559591233730316,17277
"Adam Frazier","- - -",639,,3.2505471110343933,,3.2505471110343933,15223
"Jesse Winker","CIN",485,,3.24204683303833,,3.24204683303833,13590
"Brandon Nimmo","NYM",386,,3.2257001399993896,,3.2257001399993896,12927
"Ty France","SEA",650,,3.209683656692505,,3.209683656692505,17982
"Jordan Montgomery","NYY",4,157.3333,-0.04165095463395119,3.2380168437957764,3.196365889161825,16511
"AJ Pollock","LAD",422,,3.1581032276153564,,3.1581032276153564,9256
"Lance McCullers Jr.","HOU",4,162.3333,-0.04272055998444557,3.1823341846466064,3.139613624662161,14120
"Kyle Gibson","- - -",30,182,0.07014697790145874,3.061919927597046,3.1320669054985046,10123
"Willy Adames","- - -",555,,3.0990053191781044,,3.0990053191781044,15986
"Kris Bryant","- - -",586,,3.081313043832779,,3.081313043832779,15429
"Myles Straw","- - -",638,,3.07650625705719,,3.07650625705719,17620
"Joey Wendle","TBR",501,,3.073042154312134,,3.073042154312134,13853
"Jacob Stallings","PIT",427,,3.0710740089416504,,3.0710740089416504,13723
"J.P. Crawford","SEA",687,,3.0671184062957764,,3.0671184062957764,15491
"Giancarlo Stanton","NYY",579,,3.0482795238494873,,3.0482795238494873,4949
"Luis Garcia","HOU",6,155.3333,-0.06334207952022552,3.0749809741973877,3.011638894677162,23735
"Antonio Senzatela","COL",51,156.6666,-0.5116057991981506,3.503732442855835,2.9921266436576843,15488
"Tony Kemp","OAK",397,,2.979764938354492,,2.979764938354492,14894
"Tommy Edman","STL",691,,2.955252170562744,,2.955252170562744,19470
"Chris Flexen","SEA",3,179.6666,-0.030443280935287476,2.9847660064697266,2.954322725534439,13896
"Harrison Bader","STL",401,,2.9361112117767334,,2.9361112117767334,18030
"Max Stassi","LAA",319,,2.9327189922332764,,2.9327189922332764,10059
"Darin Ruf","SFG",312,1,2.925731658935547,0.005666439887136221,2.931398098822683,9929
"Mark Canha","OAK",625,,2.915393352508545,,2.915393352508545,11445
"José Abreu","CHW",659,,2.8355212211608887,,2.8355212211608887,15676
"Kevin Kiermaier","TBR",390,,2.815436840057373,,2.815436840057373,11038
"Amed Rosario","CLE",588,,2.8042147159576416,,2.8042147159576416,15518
"Anthony DeSclafani","SFG",62,167.6666,-0.24232372641563416,3.0351452827453613,2.792821556329727,13050
"Omar Narváez","MIL",445,,2.7624409198760986,,2.7624409198760986,13338
"Chris Taylor","LAD",582,,2.7585604190826416,,2.7585604190826416,13757
"Adolis García","TEX",622,,2.7568306922912598,,2.7568306922912598,19287
"J.D. Martinez","BOS",634,,2.746760368347168,,2.746760368347168,6184
"Yu Darvish","SDP",55,166.3333,-0.11258426308631897,2.849531650543213,2.736947387456894,13074
"Liam Hendriks","CHW",,71,0,2.726494550704956,2.726494550704956,3548
"Steven Matz","TOR",2,150.6666,-0.022276107221841812,2.7456274032592773,2.7233512960374355,13361
"Salvador Perez","KCR",665,,2.701178550720215,,2.701178550720215,7304
"Willson Contreras","CHC",483,,2.674351215362549,,2.674351215362549,11609
"Kyle Schwarber","- - -",471,,2.674214482307434,,2.674214482307434,16478
"Joe Musgrove","SDP",57,181.3333,-0.617394208908081,3.2847211360931396,2.6673269271850586,12970
"George Springer","TOR",342,,2.6298422813415527,,2.6298422813415527,12856
"Kolten Wong","MIL",492,,2.6105241775512695,,2.6105241775512695,12532
"Josh Hader","MIL",,58.6666,0,2.5929086208343506,2.5929086208343506,14212
"Whit Merrifield","KCR",720,,2.5917646884918213,,2.5917646884918213,11281
"Hunter Renfroe","BOS",572,,2.569620132446289,,2.569620132446289,15464
"Robbie Grossman","DET",671,,2.5647237300872803,,2.5647237300872803,5254
"Trent Grisham","SDP",527,,2.5547823905944824,,2.5547823905944824,18564
"Tyler Glasnow","TBR",2,88,-0.020225083455443382,2.561439037322998,2.5412139538675547,14374
"Shane McClanahan","TBR",,123.3333,0,2.5379621982574463,2.5379621982574463,21483
"John Means","BAL",5,146.6666,0.04886411875486374,2.472393035888672,2.5212571546435356,16269
"Shane Bieber","CLE",6,96.6666,-0.06244370713829994,2.563436269760132,2.500992562621832,19427
"Eduardo Escobar","- - -",599,,2.4868494272232056,,2.4868494272232056,6153
"Alex Cobb","LAA",1,93.3333,-0.01088799349963665,2.490419864654541,2.4795318711549044,6562
"Ryan McMahon","COL",596,,2.453428030014038,,2.453428030014038,15112
"Sonny Gray","CIN",43,135.3333,-0.02341519296169281,2.461591958999634,2.438176766037941,12768
"Hyun Jin Ryu","TOR",4,169,-0.044552214443683624,2.454495668411255,2.4099434539675713,14444
"Ryan Pressly","HOU",,64,0,2.407472848892212,2.407472848892212,7005
"Dylan Carlson","STL",619,,2.396174669265747,,2.396174669265747,20126
"Ketel Marte","ARI",374,,2.393641471862793,,2.393641471862793,13613
"Jared Walsh","LAA",585,,2.3726720809936523,,2.3726720809936523,18607
"Jonathan Loáisiga","NYY",,70.6666,0,2.3659329414367676,2.3659329414367676,19753
"Wander Franco","TBR",308,,2.3588855266571045,,2.3588855266571045,23667
"C.J. Cron","COL",547,,2.3420722484588623,,2.3420722484588623,12546
"Patrick Wisdom","CHC",375,,2.3419487476348877,,2.3419487476348877,13602
"Josh Harrison","- - -",558,,2.3327853083610535,,2.3327853083610535,8202
"Luis Urías","MIL",570,,2.3220624923706055,,2.3220624923706055,16622
"Avisaíl García","MIL",515,,2.2899107933044434,,2.2899107933044434,5760
"Alex Wood","SFG",47,138.6666,-0.2541567087173462,2.5280165672302246,2.2738598585128784,13781
"Adam Duvall","- - -",555,,2.272014021873474,,2.272014021873474,10950
"Giovanny Gallegos","STL",,80.3333,0,2.2713191509246826,2.2713191509246826,14986
"Mike Minor","KCR",7,158.6666,-0.07810737192630768,2.3360376358032227,2.257930263876915,10021
"Nick Pivetta","BOS",2,155,-0.022794242948293686,2.2760043144226074,2.2532100714743137,15454
"Kyle Seager","SEA",670,,2.2521488666534424,,2.2521488666534424,9785
"Tanner Houck","BOS",1,69,-0.011397121474146843,2.2560808658599854,2.2446837443858385,19879
"Yan Gomes","- - -",375,,2.232866555452347,,2.232866555452347,9627
"Brett Phillips","TBR",292,1,2.234809637069702,-0.027632955461740494,2.2071766816079617,14735
"Max Kepler","MIN",490,,2.2071282863616943,,2.2071282863616943,12144
"Logan Gilbert","SEA",,119.3333,0,2.2058587074279785,2.2058587074279785,22250
"Wil Myers","SDP",500,,2.204413890838623,,2.204413890838623,10047
"Craig Kimbrel","- - -",1,59.6666,-0.01107543334364891,2.1876045800745487,2.1765291467309,6655
"Anthony Rizzo","- - -",576,0.6666,2.175136238336563,-0.0018501703161746264,2.1732860680203885,3473
"Jonathan Schoop","DET",674,,2.170165777206421,,2.170165777206421,11265
"Scott Barlow","KCR",,74.3333,0,2.1694271564483643,2.1694271564483643,14993
"Trevor Story","COL",595,,2.167285203933716,,2.167285203933716,12564
"Josh Bell","WSN",568,,2.1612534523010254,,2.1612534523010254,13145
"Emmanuel Clase","CLE",,69.6666,0,2.1550590991973877,2.1550590991973877,21032
"Pablo López","MIA",35,102.6666,-0.18525245785713196,2.3380489349365234,2.1527964770793915,17085
"Mike Trout","LAA",146,,2.147091865539551,,2.147091865539551,10155
"Mitch Haniger","SEA",691,,2.140169620513916,,2.140169620513916,14274
"Alex Bregman","HOU",400,,2.1393816471099854,,2.1393816471099854,17678
"Michael Brantley","HOU",508,,2.128864288330078,,2.128864288330078,4106
"Mike Yastrzemski","SFG",532,,2.1284210681915283,,2.1284210681915283,14854
"Kyle Farmer","CIN",529,,2.121450424194336,,2.121450424194336,14813
"Mitch Garver","MIN",243,,2.100785970687866,,2.100785970687866,15161
"Merrill Kelly","ARI",58,158,-0.1242888793349266,2.2234959602355957,2.099207080900669,11156
"DJ LeMahieu","NYY",679,,2.087808847427368,,2.087808847427368,9874
"Chas McCormick","HOU",320,,2.087319850921631,,2.087319850921631,19599
"Brady Singer","KCR",,128.3333,0,2.084493398666382,2.084493398666382,25377
"Manuel Margot","TBR",464,,2.0809590816497803,,2.0809590816497803,14712
"Edwin Díaz","NYM",,62.6666,0,2.0577192306518555,2.0577192306518555,14710
"Blake Snell","SDP",37,128.6666,-0.08191585540771484,2.1344213485717773,2.0525054931640625,13543
"Tyler Anderson","- - -",40,166.9999,-0.018696332350373268,2.057795763015747,2.039099430665374,12880
"Nathaniel Lowe","TEX",642,,2.0352439880371094,,2.0352439880371094,19566
"Cole Irvin","OAK",7,178.3333,0.03028808906674385,2.0016634464263916,2.0319515354931355,19244
"Edmundo Sosa","STL",326,,2.012350082397461,,2.012350082397461,17022
"Raisel Iglesias","LAA",,70,0,2.012077569961548,2.012077569961548,17130
"Eric Lauer","MIL",37,118.6666,0.3085699677467346,1.6872891187667847,1.9958590865135193,19316
"Alek Manoah","TOR",1,111.6666,-0.011138053610920906,1.9943301677703857,1.9831921141594648,26410
"Jon Gray","COL",50,149,-0.3148033618927002,2.2874014377593994,1.9725980758666992,14916
"Jameson Taillon","NYY",2,144.3333,0.0362200029194355,1.9359829425811768,1.9722029455006123,11674
"Evan Longoria","SFG",291,,1.9659103155136108,,1.9659103155136108,9368
"Jonathan Villar","NYM",505,,1.9619356393814087,,1.9619356393814087,10071
"Frank Schwindel","- - -",259,,1.9593468457460403,,1.9593468457460403,15351
"Rhys Hoskins","PHI",443,,1.9286271333694458,,1.9286271333694458,16472
"Miguel Rojas","MIA",539,,1.9283214807510376,,1.9283214807510376,7802
"Michael A. Taylor","KCR",528,,1.927079439163208,,1.927079439163208,11489
"Dane Dunning","TEX",4,117.6666,0.05374794080853462,1.8695440292358398,1.9232919700443745,19409
"Cal Quantrill","CLE",2,149.6666,0.05177358537912369,1.8528671264648438,1.9046407118439674,19312
"LaMonte Wade Jr.","SFG",381,,1.8960410356521606,,1.8960410356521606,18126
"Santiago Espinal","TOR",246,,1.8828682899475098,,1.8828682899475098,19997
"Nelson Cruz","- - -",584,,1.8782526589930058,,1.8782526589930058,2434
"Wilmer Flores","SFG",436,,1.8728017807006836,,1.8728017807006836,5827
"Ke'Bryan Hayes","PIT",396,,1.871915578842163,,1.871915578842163,18577
"Blake Treinen","LAD",,72.3333,0,1.868135690689087,1.868135690689087,12572
"Steven Duggar","SFG",297,,1.8643760681152344,,1.8643760681152344,17719
"Alex Verdugo","BOS",604,,1.8621708154678345,,1.8621708154678345,17027
"Zach Eflin","PHI",37,105.6666,-0.2773055136203766,2.1377153396606445,1.860409826040268,13774
"Collin McHugh","TBR",,64,0,1.8356584310531616,1.8356584310531616,7531
"Kenley Jansen","LAD",1,69,-0.010900863446295261,1.841271162033081,1.8303702985867858,3096
"Jazz Chisholm Jr.","MIA",507,,1.8252463340759277,,1.8252463340759277,20454
"Austin Hays","BAL",529,,1.8161652088165283,,1.8161652088165283,19363
"Ramón Laureano","OAK",378,,1.8089336156845093,,1.8089336156845093,17128
"José Urquidy","HOU",4,107,0.030359217897057533,1.7699626684188843,1.8003218863159418,18413
"Matt Harvey","BAL",6,127.6666,-0.06543119996786118,1.8602752685546875,1.7948440685868263,11713
"Manny Piña","MIL",208,,1.7920317649841309,,1.7920317649841309,2829
"Tyler Stephenson","CIN",402,,1.7856805324554443,,1.7856805324554443,17988
"Jose Iglesias","- - -",511,,1.7843164801597595,,1.7843164801597595,10231
"Daulton Varsho","ARI",315,,1.7792195081710815,,1.7792195081710815,19918
"Framber Valdez","HOU",4,134.6666,-0.042228057980537415,1.8156068325042725,1.773378774523735,17295
"Josh Rojas","ARI",550,,1.7575165033340454,,1.7575165033340454,19734
"Carson Kelly","ARI",359,,1.749147653579712,,1.749147653579712,13620
"Akil Baddoo","DET",461,,1.7202163934707642,,1.7202163934707642,22168
"Lourdes Gurriel Jr.","TOR",541,,1.7200835943222046,,1.7200835943222046,19238
"Huascar Ynoa","ATL",32,91,0.33956339955329895,1.3801805973052979,1.7197439968585968,20468
"Yandy Díaz","TBR",541,,1.7180602550506592,,1.7180602550506592,16578
"Franmil Reyes","CLE",466,,1.7146178483963013,,1.7146178483963013,14566
"Michael Kopech","CHW",1,69.3333,-0.010778338648378849,1.7249866724014282,1.7142083337530494,17282
"Joe Ross","WSN",39,108,0.3574608862400055,1.3310222625732422,1.6884831488132477,12972
"Elias Díaz","COL",371,,1.6831698417663574,,1.6831698417663574,11680
"Garrett Whitlock","BOS",2,73.3333,0.04979391396045685,1.623125672340393,1.67291958630085,20191
"Danny Duffy","KCR",,61,0,1.6679730415344238,1.6679730415344238,3542
"Rich Hill","- - -",26,158.6666,-0.057932984083890915,1.7122091054916382,1.6542761214077473,4806
"Elvis Andrus","OAK",541,,1.6432290077209473,,1.6432290077209473,8709
"Ian Anderson","ATL",41,128.3333,-0.19184520840644836,1.826627492904663,1.6347822844982147,19951
"Aaron Loup","NYM",,56.6666,0,1.6293270587921143,1.6293270587921143,10343
"Nestor Cortes","NYY",1,93,-0.010412738658487797,1.6389529705047607,1.628540231846273,17874
"Madison Bumgarner","ARI",52,146.3333,0.22964447736740112,1.3915902376174927,1.6212347149848938,5524
"Isiah Kiner-Falefa","TEX",677,,1.6067951917648315,,1.6067951917648315,16512
"Ryan Tepera","- - -",,61.3333,0,1.6003711819648743,1.6003711819648743,10291
"Kenta Maeda","MIN",4,106.3333,-0.003927716054022312,1.6018078327178955,1.5978801166638732,18498
"Luis Arraez","MIN",479,,1.591239333152771,,1.591239333152771,18568
"Zac Gallen","ARI",42,121.3333,0.2269415259361267,1.3462244272232056,1.5731659531593323,19291
"Trevor Bauer","LAD",34,107.6666,-0.23350028693675995,1.8044440746307373,1.5709437876939774,12703
"Rafael Ortega","CHC",330,,1.5702484846115112,,1.5702484846115112,10323
"Chad Green","NYY",,83.6666,0,1.5664726495742798,1.5664726495742798,15552
"Nico Hoerner","CHC",170,,1.5579123497009277,,1.5579123497009277,21479
"Chris Paddack","SDP",42,108.3333,-0.22822675108909607,1.778618335723877,1.5503915846347809,20099
"Patrick Sandoval","LAA",4,87,0.03504220023751259,1.5142797231674194,1.549321923404932,19447
"Tucker Barnhart","CIN",388,,1.5465041399002075,,1.5465041399002075,10200
"Nick Ahmed","ARI",473,,1.5371006727218628,,1.5371006727218628,12147
"Taylor Rogers","MIN",,40.3333,0,1.5335522890090942,1.5335522890090942,13449
"Dylan Floro","MIA",,64,0,1.5283931493759155,1.5283931493759155,13394
"Austin Meadows","TBR",591,,1.5239214897155762,,1.5239214897155762,15672
"Adrian Houser","MIL",46,142.3333,0.026944687590003014,1.4955835342407227,1.5225282218307257,12718
"Michael Fulmer","DET",,69.6666,0,1.5204213857650757,1.5204213857650757,13218
"Johnny Cueto","SFG",37,114.6666,-0.011006132699549198,1.5180940628051758,1.5070879301056266,6893
"Lorenzo Cain","MIL",286,,1.5062247514724731,,1.5062247514724731,9077
"Leury García","CHW",474,,1.5044753551483154,,1.5044753551483154,5913
"Spencer Turnbull","DET",,50,0,1.4982781410217285,1.4982781410217285,16207
"Yadier Molina","STL",473,,1.4851880073547363,,1.4851880073547363,7007
"Drew Rasmussen","- - -",4,76,0.031028037890791893,1.4481441900134087,1.4791722279042006,25385
"Austin Slater","SFG",306,0.3333,1.494161605834961,-0.015231829136610031,1.478929776698351,16153
"Matthew Boyd","DET",5,78.6666,0.1087457463145256,1.3695029020309448,1.4782486483454704,15440
"Andrew Kittredge","TBR",,71.6666,0,1.474886178970337,1.474886178970337,12828
"César Hernández","- - -",637,,1.4738160045817494,,1.4738160045817494,10556
"Cole Sulser","BAL",,63.3333,0,1.4716922044754028,1.4716922044754028,15256
"Danny Jansen","TOR",205,,1.467184066772461,,1.467184066772461,16535
"Ian Happ","CHC",535,,1.465713381767273,,1.465713381767273,17919
"Andrew McCutchen","PHI",574,,1.4636776447296143,,1.4636776447296143,9847
"Michael Conforto","NYM",479,,1.4599502086639404,,1.4599502086639404,16376
"Aledmys Díaz","HOU",319,,1.4591715335845947,,1.4591715335845947,15937
"Reese McGuire","TOR",217,,1.4493639469146729,,1.4493639469146729,15674
"David Peralta","ARI",538,1,1.5137293338775635,-0.06650753319263458,1.447221800684929,2136
"Lucas Luetge","NYY",,72.3333,0,1.443414330482483,1.443414330482483,8337
"Tyler Naquin","CIN",454,,1.4416812658309937,,1.4416812658309937,13359
"Taijuan Walker","NYM",51,159,-0.044496599584817886,1.4770550727844238,1.432558473199606,11836
"Bradley Zimmer","CLE",348,,1.4309505224227905,,1.4309505224227905,16221
"Paul Sewald","SEA",,64.6666,0,1.4267463684082031,1.4267463684082031,13892
"Odúbel Herrera","PHI",492,,1.4194481372833252,,1.4194481372833252,11476
"Andrew Benintendi","KCR",538,,1.4180330038070679,,1.4180330038070679,17901
"Corey Kluber","NYY",2,80,-0.020825477316975594,1.4340221881866455,1.41319671086967,2429
"Christian Yelich","MIL",475,,1.4035755395889282,,1.4035755395889282,11477
"Andrew Chafin","- - -",,68.6666,0,1.4035556018352509,1.4035556018352509,12988
"Donovan Solano","SFG",344,,1.4016073942184448,,1.4016073942184448,8623
"Alcides Escobar","WSN",349,,1.3893225193023682,,1.3893225193023682,6310
"Devin Williams","MIL",,54,0,1.3777369260787964,1.3777369260787964,15816
"Gleyber Torres","NYY",516,,1.3755321502685547,,1.3755321502685547,16997
"Garrett Crochet","CHW",,54.3333,0,1.3748126029968262,1.3748126029968262,27463
"J.D. Davis","NYM",211,,1.3330072164535522,,1.3330072164535522,16219
"Adam Engel","CHW",140,,1.3305026292800903,,1.3305026292800903,15082
"Zach Thompson","MIA",18,75,0.00837403442710638,1.3179258108139038,1.3262998452410102,16094
"Rougned Odor","NYY",361,,1.3216019868850708,,1.3216019868850708,12282
"Tyrone Taylor","MIL",271,,1.3208956718444824,,1.3208956718444824,13675
"Jesús Aguilar","MIA",510,,1.3201273679733276,,1.3201273679733276,11342
"Matt Barnes","BOS",,54.6666,0,1.307235836982727,1.307235836982727,12863
"Trevor Williams","- - -",28,90.9999,0.13763834768906236,1.153713345527649,1.2913516932167113,16977
"Drew Steckenrider","SEA",,67.6666,0,1.2889587879180908,1.2889587879180908,18806
"James Kaprielian","OAK",4,119.3333,0.05636231601238251,1.231092095375061,1.2874544113874435,18331
"Michael Pineda","MIN",3,109.3333,-0.03151359781622887,1.31879460811615,1.287281010299921,5372
"Lucas Sims","CIN",2,47,-0.023650217801332474,1.306571125984192,1.2829209081828594,13470
"Casey Mize","DET",3,150.3333,0.024964746087789536,1.246364712715149,1.2713294588029385,20492
"Nick Madrigal","CHW",215,,1.2686655521392822,,1.2686655521392822,20521
"Tyler Rogers","SFG",,81,0,1.2679529190063477,1.2679529190063477,15541
"A.J. Minter","ATL",1,52.3333,-0.011368700303137302,1.2741743326187134,1.262805632315576,18655
"Kwang Hyun Kim","STL",29,106.6666,0.01433967612683773,1.2458398342132568,1.2601795103400946,27458
"José Suarez","LAA",1,98.3333,-0.01088799349963665,1.2684375047683716,1.257549511268735,19911
"Paul DeJong","STL",402,,1.251231074333191,,1.251231074333191,18015
"Gio Urshela","NYY",442,,1.2456905841827393,,1.2456905841827393,10681
"Aaron Bummer","CHW",,56.3333,0,1.2422547340393066,1.2422547340393066,16258
"Domingo Germán","NYY",3,98.3333,-0.031238211318850517,1.2719422578811646,1.240704046562314,17149
"Ryan Yarbrough","TBR",4,155,-0.040450166910886765,1.2772635221481323,1.2368133552372456,16502
"Jack Flaherty","STL",26,78.3333,0.30393093824386597,0.9315710067749023,1.2355019450187683,17479
"Ryan Jeffers","MIN",293,,1.2305424213409424,,1.2305424213409424,24618
"Brendan Rodgers","COL",415,,1.2290494441986084,,1.2290494441986084,17907
