player_name,year,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,run_exp,bat_speed,swing_length,Height(inches),Weight(pounds),Batter Age (6/30),whiff%,swing%,take%,pitch/abs
"Mercado, Óscar",2020,0.15,0.0,0.231,0.15,0.176,0.187,0.153,3.0,20.0,85.0,-6.1,-4.4,68.37683044237907,7.1215685,74.0,201.1290322580645,25.0,0.3333333333333333,0.47368421052631576,0.5263157894736842,4.75
"Stewart, Christin",2020,0.15,0.05,0.231,0.2,0.193,0.235,0.165,3.0,20.0,86.9,29.5,-6.3,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.358974358974359,0.4875,0.5125,4.0
"Kingery, Scott",2020,0.15,0.15,0.125,0.3,0.255,0.286,0.188,3.0,20.0,80.4,25.6,-2.5,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.21428571428571427,0.5316455696202531,0.46835443037974683,3.95
"White, Eli",2021,0.149,0.106,0.231,0.255,0.22,0.235,0.18,7.0,47.0,77.2,12.6,-7.9,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.35353535353535354,0.48058252427184467,0.5194174757281553,4.382978723404255
"Altuve, Jose",2020,0.149,0.106,0.176,0.255,0.211,0.239,0.187,7.0,47.0,85.6,3.5,-7.9,68.37683044237907,7.1215685,74.0,201.1290322580645,30.0,0.25842696629213485,0.4472361809045226,0.5527638190954773,4.23404255319149
"Kieboom, Carter",2021,0.149,0.0,0.227,0.149,0.186,0.254,0.205,10.0,67.0,82.9,4.2,-18.5,68.37683044237907,7.1215685,74.0,201.1290322580645,23.0,0.34532374100719426,0.5036231884057971,0.4963768115942029,4.119402985074627
"Vázquez, Christian",2024,0.149,0.054,0.183,0.203,0.157,0.212,0.191,11.0,74.0,82.3,16.2,-11.2,65.443130753,6.77302726,74.0,201.1290322580645,33.0,0.25625,0.5776173285198556,0.4223826714801444,3.7432432432432434
"Pratto, Nick",2022,0.148,0.111,0.286,0.259,0.279,0.254,0.08,4.0,27.0,90.3,24.5,-2.3,68.37683044237907,7.1215685,74.0,201.1290322580645,23.0,0.37662337662337664,0.4350282485875706,0.5649717514124294,6.555555555555555
"Calhoun, Kole",2023,0.148,0.204,0.116,0.352,0.224,0.3,0.24,8.0,54.0,86.3,19.7,-7.0,68.37683044237907,7.1215685,74.0,201.1290322580645,35.0,0.21621621621621623,0.5414634146341464,0.4585365853658537,3.7962962962962963
"Smoak, Justin",2020,0.148,0.074,0.235,0.222,0.204,0.225,0.181,4.0,27.0,85.8,5.1,-4.7,68.37683044237907,7.1215685,74.0,201.1290322580645,33.0,0.3492063492063492,0.4701492537313433,0.5298507462686567,4.962962962962963
"Belt, Brandon",2022,0.148,0.037,0.216,0.185,0.22,0.247,0.155,8.0,54.0,88.1,31.2,-9.4,68.37683044237907,7.1215685,74.0,201.1290322580645,34.0,0.2782608695652174,0.444015444015444,0.555984555984556,4.796296296296297
"Nido, Tomás",2024,0.147,0.0,0.2,0.147,0.152,0.193,0.149,5.0,34.0,86.2,9.8,-7.7,69.770760698,7.968877209,74.0,201.1290322580645,30.0,0.33707865168539325,0.664179104477612,0.3358208955223881,3.9411764705882355
"Marcano, Tucupita",2022,0.147,0.118,0.167,0.265,0.212,0.188,0.135,5.0,34.0,81.5,9.5,-3.3,68.37683044237907,7.1215685,74.0,201.1290322580645,22.0,0.2222222222222222,0.4186046511627907,0.5813953488372093,3.7941176470588234
"Gallo, Joey",2024,0.147,0.25,0.152,0.397,0.277,0.252,0.153,10.0,68.0,89.4,23.6,-5.5,70.269117752,7.136547984,74.0,201.1290322580645,30.0,0.3673469387755102,0.4819672131147541,0.5180327868852459,4.485294117647059
"Raleigh, Cal",2021,0.147,0.059,0.238,0.206,0.161,0.155,0.131,5.0,34.0,91.2,27.1,-6.5,68.37683044237907,7.1215685,74.0,201.1290322580645,24.0,0.39080459770114945,0.6492537313432836,0.35074626865671643,3.9411764705882355
"Azocar, José",2022,0.146,0.021,0.189,0.167,0.156,0.244,0.21,7.0,48.0,80.2,13.6,-9.7,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.21621621621621623,0.6453488372093024,0.3546511627906977,3.5833333333333335
"Siri, Jose",2024,0.146,0.058,0.246,0.204,0.204,0.254,0.173,15.0,103.0,79.2,10.2,-20.9,69.154490857,7.641865714,74.0,201.1290322580645,28.0,0.4622222222222222,0.5011135857461024,0.49888641425389757,4.359223300970874
"Duvall, Adam",2020,0.145,0.2,0.125,0.345,0.247,0.319,0.206,8.0,55.0,86.0,20.5,-6.1,68.37683044237907,7.1215685,74.0,201.1290322580645,31.0,0.29914529914529914,0.5318181818181819,0.4681818181818182,4.0
"Buxton, Byron",2022,0.145,0.21,0.154,0.355,0.285,0.278,0.168,9.0,62.0,87.8,19.7,-8.6,68.37683044237907,7.1215685,74.0,201.1290322580645,28.0,0.3383458646616541,0.4634146341463415,0.5365853658536586,4.629032258064516
"Hensley, David",2024,0.143,0.0,0.25,0.143,0.196,0.172,0.107,2.0,14.0,90.2,-6.5,-2.8,69.452067692,6.762665769,74.0,201.1290322580645,28.0,0.4230769230769231,0.32098765432098764,0.6790123456790124,5.785714285714286
"Lewis, Kyle",2022,0.143,0.0,0.143,0.143,0.251,0.444,0.399,1.0,7.0,85.6,12.1,-0.4,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.4117647058823529,0.425,0.575,5.714285714285714
"Ohtani, Shohei",2020,0.143,0.238,0.13,0.381,0.265,0.312,0.216,6.0,42.0,89.7,9.5,-7.8,68.37683044237907,7.1215685,74.0,201.1290322580645,25.0,0.2872340425531915,0.46534653465346537,0.5346534653465347,4.809523809523809
"Velasquez, Vince",2021,0.143,0.0,0.333,0.143,0.196,0.229,0.167,1.0,7.0,70.8,-18.0,-1.9,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.26666666666666666,0.6521739130434783,0.34782608695652173,3.2857142857142856
"Brooks, Trenton",2024,0.143,0.0,0.25,0.143,0.126,0.278,0.218,1.0,7.0,95.7,29.5,-2.2,59.749279167,7.437298333,74.0,201.1290322580645,28.0,0.3333333333333333,0.5714285714285714,0.42857142857142855,3.0
"Ornelas, Jonathan",2024,0.143,0.0,0.2,0.143,0.126,0.097,0.105,1.0,7.0,73.9,-12.5,-1.2,66.984970556,6.741741111,74.0,201.1290322580645,24.0,0.3333333333333333,0.5454545454545454,0.45454545454545453,4.714285714285714
"Beaty, Matt",2022,0.143,0.071,0.2,0.214,0.251,0.329,0.246,2.0,14.0,83.7,20.7,-2.6,68.37683044237907,7.1215685,74.0,201.1290322580645,29.0,0.23076923076923078,0.4482758620689655,0.5517241379310345,4.142857142857143
"Allen, Austin",2020,0.143,0.0,0.25,0.143,0.126,0.151,0.166,1.0,7.0,81.7,21.3,-1.8,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.3333333333333333,0.4838709677419355,0.5161290322580645,4.428571428571429
"Refsnyder, Rob",2020,0.143,0.0,0.25,0.143,0.176,0.216,0.11,1.0,7.0,92.9,24.0,-3.0,68.37683044237907,7.1215685,74.0,201.1290322580645,29.0,0.4090909090909091,0.4782608695652174,0.5217391304347826,6.571428571428571
